race_id_16,馬番,馬名,美咲印,美咲順位,美咲_勝率,美咲_連対率
2026081601010807,5,デイズインザサン,☆,7,43.14404885694913,44.63079673276193
2026081601010807,14,ウイルソン,,8,38.644646705034475,38.59433986603479
2026081601010807,15,スチョウプリンセス,,9,30.27914087032592,31.233548951602696
2026081601010807,10,コスモマウイ,,10,27.05288436558238,28.659776262186153
2026081601010807,9,メイショウライガ,,11,27.979584327927924,28.60343096499829
2026081601010807,1,ルクスユアン,,12,26.83678989734609,28.282786434179226
2026081601010807,4,トーレス,,13,28.66065961440879,27.997082475769595
2026081601010807,8,アームアンフルール,,14,24.23750996964273,27.33168530380648
2026081601010807,3,キトゥンズラスター,,15,27.329934313462434,25.90359923973929
2026081601010807,11,ホウオウワイズ,,16,29.40298947737967,25.84703702231353
2026081601010808,3,タイセイルビー,◎,1,48.10599415070848,53.049416617757586
2026081601010808,5,ロードアルディート,○,2,47.10729319226529,50.66944514705279
2026081601010808,2,タイセイジェイド,▲,3,47.08821240416627,50.037576081747446
2026081601010808,10,ジェネラスキング,△,4,42.365911919840684,44.55897507895303
2026081601010808,7,タイキインドラ,×,5,41.637776561518685,42.76263978286693
2026081601010808,1,カフジクロミエ,注,6,36.010298287028256,41.45450428179824
2026081601010808,4,グレイスフルマーチ,☆,7,36.4011486963118,38.40595476871042
2026081601010808,9,サマースプラッシュ,,8,30.41324781927553,33.54340635467048
2026081601010808,6,スパークルレイ,,9,33.93637983002915,30.587783801126793
2026081601010808,8,ファミーユウルーズ,,10,29.91809166164173,29.374239861753875
2026081601010808,11,カフェブーケット,,11,24.622914208437543,25.813667485839254
2026081601010809,3,エコロハート,◎,1,49.66297314094256,55.7170847935262
2026081601010809,16,リヴァイ,○,2,49.1007798984886,54.14613244437041
2026081601010809,5,ハッピーラッキー,▲,3,50.07831100495199,53.57034630477503
2026081601010809,14,ダブルチャレンジ,△,4,48.65079038286824,51.80967684756962
2026081601010809,8,ユーティジャーニー,×,5,46.494250588959005,48.99257713756624
2026081601010809,15,マイケルバローズ,注,6,43.95539339255755,46.47666081430005
2026081601010809,13,ノアールビーナス,☆,7,42.3921311064837,45.575933600426076
2026081601010809,12,ラヴノー,,8,39.18340831290787,40.44593674509244
2026081601010809,2,ラスベガスサイン,,9,36.476159961874686,39.621968618546184
2026081601010809,9,フィオラーノ,,10,34.949971885820204,35.410636398321806
2026081601010809,10,トーアサジタリウス,,11,32.20848118983081,33.21662303165326
2026081601010809,1,シュークリーム,,12,25.159341769739584,31.57796019616957
2026081601010809,4,レッドカメリア,,13,25.481708101201693,31.247805709451388
2026081601010809,7,ブライアーヒル,,14,25.87891134391363,30.191719015510444
2026081601010809,6,キタノクニカラ,,15,22.399474992160652,25.572347235955295
2026081601010809,11,アルマロクザン,,16,21.69654674854987,22.509031832013726
2026081601010810,9,ウーマンズパワー,◎,1,56.84178057073358,63.91477172388475
2026081601010810,1,カッタッパ,○,2,56.76944218580796,59.45329396605638
2026081601010810,6,マメタンク,▲,3,50.49396619608052,57.47541476999728
2026081601010810,2,ビーマックス,△,4,46.640293514850875,53.96750744345099
2026081601010810,3,キャリーグレイス,×,5,42.547745251584644,48.02996913783448
2026081601010810,10,パールフロント,注,6,39.97247464238492,43.380893352067474
2026081601010810,12,キーガッツ,☆,7,32.132308546455675,41.481236012029974
2026081601010810,8,クインズシフォン,,8,33.05569378303571,39.398420092850934
2026081601010810,4,オセアエクスプレス,,9,33.59333570212356,35.83029111821633
2026081601010810,7,タッカージーティー,,10,25.98805410000266,32.87390160820848
2026081601010810,5,ストロングボンド,,11,25.781030280460865,29.277144984753566
2026081601010810,11,フェデルミエール,,12,21.163108655111806,26.20755972449057
2026081601010811,8,サクラファレル,◎,1,52.92139364309476,57.4381887985602
2026081601010811,14,レディネス,○,2,47.33683933528504,53.62535078466723
2026081601010811,10,アドマイヤテラ,▲,3,48.33888558670012,53.30388853149244
2026081601010811,7,ショウヘイ,△,4,44.496891232735244,52.4893708990121
2026081601010811,4,マジックサンズ,×,5,51.49231283639485,52.3145486932545
2026081601010811,12,ゼンダンハヤブサ,注,6,41.89042799347893,46.709751537572934
2026081601010811,13,グランディア,☆,7,38.46369604795799,43.347374017174566
2026081601010811,15,シェイクユアハート,,8,38.924926725277736,42.8568136544367
2026081601010811,9,マイネルモーント,,9,39.02156854513384,42.219165573711884
2026081601010811,6,ローシャムパーク,,10,36.77078883508946,39.01819351806963
2026081601010811,1,オニャンコポン,,11,32.93233035994788,38.999338335151904
2026081601010811,2,イガッチ,,12,32.41900149870409,37.094606097730306
2026081601010811,16,ホウオウビスケッツ,,13,33.35968836820549,34.65413012617662
2026081601010811,5,エコロヴァルツ,,14,30.198641605839953,31.85884479977359
2026081601010811,3,ピンクジン,,15,24.170770010217016,30.422252996104444
2026081601010811,11,アラタ,,16,19.640421441292446,22.382387551231677
2026081601010812,2,ダノンヒストリー,◎,1,56.44578814852641,60.95923310575001
2026081601010812,12,ジュンツバメガエシ,○,2,49.14793206716209,55.947424588648076
2026081601010812,13,ラーシャローム,▲,3,45.63351854008159,51.70959252582309
2026081601010812,4,マイネルゼウス,△,4,41.50731305710805,46.54899172775671
2026081601010812,1,レイデラティエラ,×,5,39.55583142540199,45.01640732760272
2026081601010812,6,アスクデッドヒート,注,6,39.755186549437354,44.78523502354383
2026081601010812,11,ライフセービング,☆,7,36.045895063822606,41.06885128661911
2026081601010812,9,サラトガチップス,,8,33.626028213923696,39.711156602316784
2026081601010812,3,ゲンジ,,9,35.024282823133554,39.442462233949776
2026081601010812,8,レイデラルース,,10,33.909953221590634,39.316798850338266
2026081601010812,7,ブリヤディアマンテ,,11,33.90442644996356,36.64372742540912
2026081601010812,10,ドッビアーコ,,12,22.81605628628935,25.89491087669061
2026081601010812,14,リアルファインド,,13,23.438554915879916,24.77099545078029
2026081601010812,5,パープルクラウド,,14,17.21917784128494,20.120916573366713
2026081604020801,7,クラオルグジェシダ,◎,1,63.49832104053912,67.142206775887
2026081604020801,1,サトノスプレマシー,○,2,62.252073709722765,62.74168686909768
2026081604020801,8,インサイドエッジ,▲,3,59.461962306593364,60.070139746505234
2026081604020801,9,シュネーバレン,△,4,47.15383797966961,51.5077774499303
2026081604020801,4,アテナブレイブ,×,5,45.150325638480936,50.43087520766042
2026081604020801,2,ユタライト,注,6,38.84354426182874,37.112920307965005
2026081604020801,10,スターリーデー,☆,7,37.24088508157919,35.951221993359
2026081604020801,6,スケルツォテソーロ,,8,36.40816615102736,34.21080499453571
2026081604020801,12,レーゲンシャウアー,,9,34.918248206531686,30.142390242494855
2026081604020801,5,アルアンダルス,,10,29.76355154043994,29.333867891957325
2026081604020801,13,トリプティーク,,11,29.17384577973545,28.843990560418085
2026081604020801,3,ビーズスティンガー,,12,27.046120417031076,28.45503915863194
2026081604020801,11,フランベリー,,13,23.29549052491423,26.695147277269683
2026081604020802,15,ゾネブルーム,◎,1,58.752939912794986,62.92899099402156
