レースID(新),レース名,発走時刻,年限定,芝ダ,距離,枠番,馬番,馬記号,馬名,性,齢,騎手,斤量,キャリア(当時/取消等含),マイニング値,マイニング順位,対戦型マイニング値,対戦型マイニング順位,ﾏｲ差,Tﾏ差,指数1,指数2,指数3,指数4,単オッズ,クラス,Ｒ,競走種別C,競走記号コード,着,血統登録番号,重量C,所属,調教師,所属,生産者,産地,種牡馬,母名,母父名
202608220102010311,未勝利,11:00,３歳,ダ,1700,7,11,, ハイテイラオユエ,牡,3,小林美駒,54▲,6,108.22,4,58.5,6, 1.43,21.4,,,,,9.4,未勝利,3,12,003,,2023102520,3,(美),辻哲英,美浦,カタオカフアーム,新ひだか町,クリソベリル,ハレイワクィーン,キングカメハメハ
202608220102010312,未勝利,11:00,３歳,ダ,1700,7,12,, ジュラトリー,牝,3,落合玄太, 55 ,6,108.51,9,38.3,10, 1.72,41.6,,,,,21.0,未勝利,3,12,003,,2023103437,3,(美),池上昌和,美浦,社台ファーム,千歳市,コントレイル,ジュマイエル,"Lope de Vega"
202608220102010313,未勝利,11:00,３歳,ダ,1700,8,13,, タイガーゲイト,牡,3,松本大輝, 57 ,11,111.18,14,14.9,13, 4.39,65.0,,,,,139.4,未勝利,3,12,003,,2023102964,3,(美),大和田成,美浦,千代田牧場,新ひだか町,リオンディーズ,ロイヤルヴォルト,ディープインパクト
202608220102010314,未勝利,11:00,３歳,ダ,1700,8,14,, リン,牡,3,松山弘平, 57 ,7,106.79,1,78.6,2,-0.37, 1.3,,,,,2.1,未勝利,3,12,003,,2023101576,3,(栗),四位洋文,栗東,ヤナガワ牧場,日高町,キタサンブラック,ティーンエイジギャル,Acclamation
202608220102010401,未勝利,11:30,３歳,芝,2000,1,1,, ウィスカーパッド,牝,3,岩田望来, 55 ,6,121.76,5,73.1,3, 0.31, 2.8,,,,,5.2,未勝利,4,12,003,,2023103380,3,(栗),藤岡健一,栗東,社台ファーム,千歳市,キタサンブラック,キトゥンズダンプリングス,"Kitten's Joy"
202608220102010402,未勝利,11:30,３歳,芝,2000,1,2,, ゴコウコイコイ,牝,3,横山武史, 55 ,11,121.74,4,75.9,1, 0.29,-1.8,,,,,3.4,未勝利,4,12,003,,2023104486,3,(美),栗田徹,美浦,ブルースターズファーム,新冠町,ゴールドシップ,シュピールカルテ,ロージズインメイ
202608220102010403,未勝利,11:30,３歳,芝,2000,2,3,, アースヴィンチ,牝,3,長浜鴻緒,54☆,5,122.62,13,31.2,14, 1.17,44.7,,,,,53.1,未勝利,4,12,003,,2023103789,3,(美),蛯名正義,美浦,社台コーポレーション白老ファーム,白老町,アルアイン,スクエアゴールド,ステイゴールド
202608220102010404,未勝利,11:30,３歳,芝,2000,2,4,, メイショウノヴァス,牡,3,吉田隼人, 57 ,9,122.60,12,42.7,10, 1.15,33.2,,,,,28.9,未勝利,4,12,003,,2023104936,3,(栗),大橋勇樹,栗東,辻牧場,浦河町,ノーブルミッション,トーコーユズキ,ディープインパクト
202608220102010405,未勝利,11:30,３歳,芝,2000,3,5,, シーラス,牡,3,レーン, 57 ,1,122.79,15,21.9,16, 1.34,54.0,,,,,11.6,未勝利,4,12,003,,2023103757,3,(美),堀宣行,美浦,社台コーポレーション白老ファーム,白老町,コントレイル,ヴァイブランス,Violence
202608220102010406,未勝利,11:30,３歳,芝,2000,3,6,, クロミ,牝,3,鮫島克駿, 55 ,1,122.07,7,39.8,11, 0.62,36.1,,,,,39.9,未勝利,4,12,003,,2023102150,3,(栗),小崎憲,栗東,富菜牧場,浦河町,キタサンブラック,シウダニーニャ,Leroidesanimaux
202608220102010407,未勝利,11:30,３歳,芝,2000,4,7,, シーシェル,牝,3,黛弘人, 55 ,4,122.50,10,34.4,12, 1.05,41.5,,,,,129.0,未勝利,4,12,003,,2023105212,3,(美),武藤善則,美浦,アスラン,苫小牧市,アドマイヤマーズ,サクレエクスプレス,クロフネ
